PLAYER,TM,POS,GP,GS,MIN,FG,FGA,X3P,X3PA,FT,FTA,OR,DR,TR,AST,STL,TO,Blk,PF,PTS
A.J. Price,WAS,PG,58,22,1298,163,418,70,201,49,62,21,98,119,208,34,64,3,73,445
Aaron Brooks,HOU,PG,7,0,45,7,17,3,8,0,0,1,0,1,8,1,4,5,7,17
Aaron Brooks,SAC,PG,46,20,960,139,303,48,127,40,52,12,66,78,108,29,63,7,89,366
Aaron Gray,TOR,C,42,16,503,46,87,0,0,23,42,46,83,129,32,7,36,4,80,115
Al Harrington,ORL,PF,10,0,118,20,57,8,30,3,4,6,21,27,10,4,7,1,18,51
Al Horford,ATL,C,73,73,2718,568,1041,3,6,132,206,191,556,747,237,77,142,76,163,1271
Al Jefferson,UTH,C,77,77,2547,604,1225,2,17,167,217,155,560,715,163,77,104,88,169,1377
Al.Farouq Aminu,MIA,SF,1,1,34,3,6,0,0,1,2,5,11,16,2,1,3,0,4,7
Al.Farouq Aminu,NOR,SF,74,69,2000,218,457,4,18,100,135,133,433,566,99,87,111,51,147,540
Alan Anderson,TOR,SG,65,2,1506,241,621,96,286,127,148,34,114,148,103,47,80,7,132,705
Alec Burks,UTH,PG,63,0,1123,161,385,32,91,92,129,37,107,144,91,35,72,13,112,446
Alexey Shved,MIN,PG,77,16,1835,234,629,85,286,109,151,40,133,173,285,54,147,26,118,662
Alonzo Gee,CLE,SF,81,81,2506,297,727,69,217,163,205,72,238,310,132,106,131,28,195,826
Amar'e Stoudemire,NYK,PF,29,0,684,154,267,0,0,105,130,60,85,145,13,10,50,21,89,413
Amir Johnson,TOR,PF,81,38,2330,336,610,5,13,135,185,228,381,609,122,83,118,110,301,812
Anderson Varejao,CLE,C,25,25,901,138,289,0,5,77,102,138,223,361,84,37,44,14,68,353
Andray Blatche,BKN,C,83,8,1574,353,689,3,22,150,220,165,259,424,85,86,123,55,165,859
Andre Drummond,DET,C,61,11,1275,212,347,1,2,60,161,170,297,467,32,60,60,98,149,485
Andre Iguodala,DEN,SG,81,81,2821,403,892,93,293,157,273,82,348,430,447,140,208,52,129,1056
Andre Miller,DEN,PG,83,12,2186,307,641,18,66,167,200,61,179,240,496,72,173,11,161,799
Andrea Bargnani,TOR,PF,35,25,1004,170,425,38,122,65,77,26,102,128,37,21,54,23,64,443
Andrei Kirilenko,MIN,SF,64,64,2045,280,560,35,119,189,248,104,258,362,180,100,120,63,81,784
Andrew Bogut,GSW,C,31,31,766,80,179,1,1,19,38,65,175,240,67,20,35,55,83,180
Andrew Goudelock,LAL,PG,1,0,6,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0
Andrew Nicholson,ORL,PF,74,27,1230,254,482,0,0,73,92,68,185,253,44,24,78,32,132,581
Andris Biedrins,GSW,PF,53,9,495,10,21,0,0,4,13,34,119,153,14,15,14,42,101,24
Antawn Jamison,LAL,PF,75,6,1613,262,564,82,230,93,135,107,250,357,50,29,51,22,122,699
Anthony Davis,MIA,PF,1,1,28,5,10,0,0,1,2,3,2,5,0,4,2,2,5,11
Anthony Davis,NOR,PF,62,58,1789,333,650,0,6,164,218,158,347,505,63,71,87,107,152,830
Anthony Morrow,ATL,SG,24,1,302,47,111,15,38,16,18,10,16,26,9,12,4,1,33,125
Anthony Morrow,DAL,SG,16,0,74,16,32,1,5,2,2,1,3,4,3,1,4,0,10,35
Anthony Randolph,DEN,PF,40,0,350,63,124,0,9,31,47,31,71,102,13,23,38,21,44,157
Anthony Tolliver,ATL,PF,62,12,969,82,217,45,132,44,51,31,118,149,31,15,36,12,70,253
Arnett Moultrie,PHI,PF,47,0,544,79,135,0,0,18,28,76,70,146,10,17,19,11,42,176
Aron Baynes,SAS,PF,15,0,141,18,36,0,1,7,12,12,20,32,5,1,10,6,23,43
Arron Afflalo,ORL,SG,64,64,2307,397,904,72,239,191,223,29,210,239,206,40,138,11,137,1057
Austin Daye,DET,PF,24,0,348,43,97,21,40,15,18,10,53,63,21,5,13,8,43,122
Austin Daye,MEM,PF,30,0,306,45,106,19,55,11,16,6,50,56,20,8,16,14,39,120
Austin Rivers,NOR,SG,61,26,1416,145,390,28,86,59,108,16,93,109,127,26,74,9,122,377
Avery Bradley,BOS,PG,49,49,1407,189,466,38,118,35,45,30,81,111,101,64,69,18,126,451
Ben Gordon,CHA,SG,75,0,1582,318,775,119,303,112,133,18,114,132,144,35,139,16,136,867
Ben Hansbrough,IND,PG,28,0,202,15,45,6,23,21,27,2,16,18,21,7,18,2,23,57
Beno Udrih,MIL,PG,39,0,720,113,238,13,49,24,33,17,61,78,138,16,53,2,39,263
Beno Udrih,ORL,PG,26,8,703,87,221,18,48,56,66,16,42,58,158,23,51,1,50,248
Bernard James,DAL,C,46,11,457,53,103,0,2,25,41,52,79,131,7,12,18,38,64,131
Bismack Biyombo,CHA,PF,80,65,2192,158,347,0,0,76,144,196,388,584,35,28,83,147,199,392
Blake Griffin,LAC,PF,80,80,2596,577,1072,5,28,281,426,186,476,662,299,97,185,50,231,1440
Boris Diaw,SAS,C,76,20,1717,179,332,30,78,47,65,66,190,256,183,52,85,27,143,435
Bradley Beal,WAS,SG,56,46,1745,282,687,91,236,125,159,43,168,211,138,50,90,29,113,780
Brandan Wright,DAL,C,63,16,1123,232,390,0,3,57,94,81,173,254,38,25,34,74,76,521
Brandon Bass,BOS,PF,80,68,2201,279,575,0,2,129,149,128,290,418,83,44,79,62,186,687
Brandon Jennings,MIL,PG,80,80,2888,495,1241,171,456,227,277,58,186,244,525,127,201,11,155,1388
Brandon Knight,DET,PG,76,76,2405,366,893,123,331,169,231,56,193,249,309,60,208,8,161,1024
Brandon Roy,MIN,SG,5,5,122,11,35,0,9,7,10,3,11,14,23,3,7,0,5,29
Brendan Haywood,CHA,C,61,17,1165,93,216,0,1,30,66,125,165,290,29,16,50,49,125,216
Brian Roberts,MIA,PG,1,1,41,6,14,1,3,0,0,0,1,1,6,1,3,0,3,13
Brian Roberts,NOR,PG,76,4,1272,206,491,58,149,70,77,17,78,95,214,36,66,3,101,540
Brook Lopez,BKN,C,75,75,2287,577,1109,0,1,302,399,212,306,518,70,35,132,158,154,1456
